date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:05:15	102737/102737	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2014:33:13%20GMT	https://newtecons.vn/	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/index.html	(from )
19:05:15	147/147	---M-Z	200	added ('OK')	text/plain	date:Mon,%2013%20Mar%202023%2012:05:12%20GMT	https://newtecons.vn/robots.txt		(from )
19:05:15	675108/675108	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Jun%202022%2009:23:59%20GMT	https://newtecons.vn/wp-content/uploads/2022/06/cover_web-1-1024x574.png	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-content/uploads/2022/06/cover_web-1-1024x574.png	(from https://newtecons.vn/)
19:05:15	99744/99744	---M-Z	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202023%2016:07:34%20GMT	https://newtecons.vn/en/	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/en/index.html	(from https://newtecons.vn/)
19:05:15	94889/94889	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Nov%202022%2000:10:45%20GMT	https://newtecons.vn/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://newtecons.vn/)
19:05:16	217/217	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Nov%202022%2000:01:48%20GMT	https://newtecons.vn/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-includes/css/classic-themes.min68b3.css	(from https://newtecons.vn/)
19:05:16	2640/2640	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jun%202021%2003:41:06%20GMT	https://newtecons.vn/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.4.1	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-content/plugins/contact-form-7/includes/css/stylesc225.css	(from https://newtecons.vn/)
19:05:16	19264/19264	---M-Z	200	added ('OK')	text/css	date:Sat,%2010%20Apr%202021%2008:23:17%20GMT	https://newtecons.vn/wp-content/themes/canhcam/assets/css/main.min.css?ver=3.0.3	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-content/themes/canhcam/assets/css/main.min19ce.css	(from https://newtecons.vn/)
19:05:17	3724/3724	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Jun%202021%2016:53:14%20GMT	https://newtecons.vn/wp-content/themes/canhcam/assets/js/fullPage/jquery.fullpage.min.css?ver=6.1.1	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/wp-content/themes/canhcam/assets/js/fullPage/jquery.fullpage.min6a4d.css	(from https://newtecons.vn/)
19:05:18	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	http://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min.css?ver=6.1.1	C:/My%20Web%20Sites/https___newtecons.vn_/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.9.0/slick.min6a4d.css	(from https://newtecons.vn/)
19:05:18	51296/51296	---MCZ	404	error ('Not%20Found')	application/rss+xml	date:Thu,%2002%20Mar%202023%2003:35:22%20GMT	https://newtecons.vn/comments/feed/	C:/My%20Web%20Sites/https___newtecons.vn_/newtecons.vn/comments/feed/index.html	(from https://newtecons.vn/)
